date,team1,team2,score1,score2,tournament
2024-11-04,Michigan,South Carolina,62,68,Women's
2024-11-04,Howard,Kansas,57,87,Men's
2024-11-04,UNC Asheville,Alabama,54,110,Men's
2024-11-04,Ole Miss,USC,66,68,Women's
2024-11-04,Jackson State,Houston,40,97,Men's
2024-11-04,Louisville,UCLA,59,66,Women's
2024-11-04,Mississippi Valley State,Iowa State,44,83,Men's
2024-11-04,Mercyhurst,Notre Dame,61,105,Women's
2024-11-04,Baylor,Gonzaga,63,101,Men's
2024-11-04,Maine,Duke,62,96,Men's
2024-11-04,Eastern Kentucky,LSU,44,95,Women's
2024-11-04,Chicago State,Iowa State,56,96,Women's
2024-11-04,Elon,UNC,76,90,Men's
2024-11-04,Southern,Oklahoma,44,76,Women's
2024-11-04,Canisius,Arizona,64,93,Men's
2024-11-04,Radford,Duke,36,89,Women's
2024-11-04,Gardner-Webb,Tennessee,64,80,Men's
2024-11-04,Green Bay,Kansas State,45,92,Women's
2024-11-04,Texas A&M,UCF,61,64,Men's
2024-11-04,Texas A&M-Corpus Christi,Purdue,73,90,Men's
2024-11-04,Charleston Southern,UNC,53,83,Women's
2024-11-04,Maryland,UMBC,74,32,Women's
2024-11-04,Stony Brook,Marquette,62,102,Men's
2024-11-04,North Florida,Florida State,49,119,Women's
2024-11-04,Ohio State,Texas,80,72,Men's
2024-11-04,Arkansas-Pine Bluff,Cincinnati,54,109,Men's
2024-11-04,South Florida,Florida,83,98,Men's
2024-11-04,USC Upstate,Kentucky,43,98,Women's
2024-11-04,Rider,UCLA,50,85,Men's
2024-11-04,Omaha,Nebraska,48,88,Women's
2024-11-04,Wright State,Kentucky,62,103,Men's
2024-11-04,New Orleans,Alabama,53,115,Women's
2024-11-04,LIU,Ole Miss,60,90,Men's
2024-11-04,Brown,Indiana,60,82,Women's
2024-11-04,Winthrop,Georgia Tech,39,85,Women's
2024-11-04,Meredith,College of Charleston,26,124,Women's
2024-11-04,IU Columbus,IU Indianapolis,44,100,Men's
2024-11-04,La Salle,Maine,51,65,Women's
2024-11-04,Stetson,Miami (FL),53,78,Women's
2024-11-04,College of Charleston,Southern Illinois,90,80,Men's
2024-11-04,LaGrange,Jacksonville State,48,112,Men's
2024-11-04,Texas A&M–San Antonio,Lamar,62,98,Women's
2024-11-04,Nicholls State,Louisiana Tech,51,53,Women's
2024-11-04,Southeastern Baptist,McNeese State,19,99,Women's
2024-11-04,Mississippi Valley State,Memphis,78,89,Women's
2024-11-04,Oglethorpe,Middle Tennessee,51,97,Men's
2024-11-04,Drake,North Dakota State,84,78,Women's
2024-11-04,Louisiana,Northern Illinois,55,57,Women's
2024-11-04,Northeastern State,Oral Roberts,74,99,Women's
2024-11-04,North Texas at Dallas,UT Arlington,55,90,Men's
2024-11-04,Lipscomb,Vanderbilt,50,102,Women's
2024-11-04,Oklahoma Christian,Wichita State,52,66,Women's
2024-11-04,West Alabama,UAB,47,78,Women's
