team_Rk,School,team_G,team_W,team_L,team_W-L%,team_SRS,team_SOS,team_,team_W,team_L,team_,team_W,team_L,team_,team_W,team_L,team_,team_Tm.,team_Opp.,team_,team_MP,team_FG,team_FGA,team_FG%,team_3P,team_3PA,team_3P%,team_FT,team_FTA,team_FT%,team_ORB,team_TRB,team_AST,team_STL,team_BLK,team_TOV,team_PF,opp_Rk,opp_G,opp_W,opp_L,opp_W-L%,opp_SRS,opp_SOS,opp_,opp_W,opp_L,opp_,opp_W,opp_L,opp_,opp_W,opp_L,opp_,opp_Tm.,opp_Opp.,opp_,opp_MP,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,adv_team_Rk,adv_team_G,adv_team_W,adv_team_L,adv_team_W-L%,adv_team_SRS,adv_team_SOS,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_Tm.,adv_team_Opp.,adv_team_,adv_team_Pace,adv_team_ORtg,adv_team_FTr,adv_team_3PAr,adv_team_TS%,adv_team_TRB%,adv_team_AST%,adv_team_STL%,adv_team_BLK%,adv_team_eFG%,adv_team_TOV%,adv_team_ORB%,adv_team_FT/FGA,adv_opp_Rk,adv_opp_G,adv_opp_W,adv_opp_L,adv_opp_W-L%,adv_opp_SRS,adv_opp_SOS,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_Tm.,adv_opp_Opp.,adv_opp_,adv_opp_Pace,adv_opp_ORtg,adv_opp_FTr,adv_opp_3PAr,adv_opp_TS%,adv_opp_TRB%,adv_opp_AST%,adv_opp_STL%,adv_opp_BLK%,adv_opp_eFG%,adv_opp_TOV%,adv_opp_ORB%,adv_opp_FT/FGA
1,Abilene Christian,32,16,16,.500,-5.47,-2.02,,8,8,,10,5,,5,10,,2260,2250,,1290,819,1845,.444,146,483,.302,476,666,.715,355,1081,421,331,94,476,670,1,32,16,16,.500,-5.47,-2.02,,8,8,,10,5,,5,10,,2260,2250,,1290,747,1677,.445,181,577,.314,575,826,.696,314,1077,384,259,143,547,568,1,32,16,16,.500,-5.47,-2.02,,8,8,,10,5,,5,10,,2260,2250,,71.1,98.6,.361,.262,.523,50.1,51.4,14.4,8.5,.483,18.0,31.8,.258,1,32,16,16,.500,-5.47,-2.02,,8,8,,10,5,,5,10,,2260,2250,,71.1,98.2,.493,.344,.544,49.9,51.4,11.3,10.5,.499,20.9,30.2,.343
2,Air Force,32,4,28,.125,-7.75,3.96,,1,19,,3,13,,0,14,,1982,2357,,1290,680,1616,.421,259,783,.331,363,572,.635,236,956,428,181,91,433,571,2,32,4,28,.125,-7.75,3.96,,1,19,,3,13,,0,14,,1982,2357,,1290,845,1758,.481,231,637,.363,436,623,.700,294,1096,411,218,103,327,558,2,32,4,28,.125,-7.75,3.96,,1,19,,3,13,,0,14,,1982,2357,,64.7,95.0,.354,.485,.525,46.6,62.9,8.7,8.1,.501,18.7,22.7,.225,2,32,4,28,.125,-7.75,3.96,,1,19,,3,13,,0,14,,1982,2357,,64.7,113.0,.354,.362,.574,53.4,48.6,10.5,12.4,.546,13.7,29.0,.248
3,Akron,34,28,6,.824,3.54,-4.52,,17,1,,16,0,,8,4,,2876,2534,,1365,1039,2197,.473,369,1013,.364,429,570,.753,410,1325,615,262,127,407,609,3,34,28,6,.824,3.54,-4.52,,17,1,,16,0,,8,4,,2876,2534,,1365,895,2089,.428,251,799,.314,493,682,.723,361,1174,397,241,79,428,562,3,34,28,6,.824,3.54,-4.52,,17,1,,16,0,,8,4,,2876,2534,,72.4,116.3,.259,.461,.583,53.0,59.2,10.6,9.8,.557,14.2,33.5,.195,3,34,28,6,.824,3.54,-4.52,,17,1,,16,0,,8,4,,2876,2534,,72.4,102.5,.326,.382,.525,47.0,44.4,9.7,6.7,.489,15.1,28.3,.236
4,Alabama,33,25,8,.758,25.96,16.26,,13,5,,12,3,,9,3,,3007,2687,,1330,1026,2126,.483,344,983,.350,611,853,.716,426,1422,555,200,147,422,628,4,33,25,8,.758,25.96,16.26,,13,5,,12,3,,9,3,,3007,2687,,1330,954,2247,.425,243,789,.308,536,761,.704,411,1212,418,258,140,343,687,4,33,25,8,.758,25.96,16.26,,13,5,,12,3,,9,3,,3007,2687,,76.2,118.7,.401,.462,.594,54.0,54.1,7.9,10.1,.563,14.3,34.7,.287,4,33,25,8,.758,25.96,16.26,,13,5,,12,3,,9,3,,3007,2687,,76.2,106.0,.339,.351,.515,46.0,43.8,10.2,12.2,.479,11.6,29.2,.239
5,Alabama A&M,32,10,22,.313,-20.36,-9.77,,6,12,,8,9,,2,12,,2337,2521,,1300,795,1966,.404,257,807,.318,490,738,.664,447,1172,432,266,131,513,687,5,32,10,22,.313,-20.36,-9.77,,6,12,,8,9,,2,12,,2337,2521,,1300,834,1816,.459,260,675,.385,591,853,.693,370,1198,484,289,97,514,598,5,32,10,22,.313,-20.36,-9.77,,6,12,,8,9,,2,12,,2337,2521,,73.0,98.4,.375,.410,.504,49.5,54.3,11.2,11.5,.470,18.1,35.1,.249,5,32,10,22,.313,-20.36,-9.77,,6,12,,8,9,,2,12,,2337,2521,,73.0,106.2,.470,.372,.567,50.5,58.0,12.2,8.4,.531,18.8,33.8,.325
6,Alabama State,34,19,15,.559,-9.23,-8.93,,12,6,,8,3,,6,10,,2497,2456,,1365,874,2158,.405,305,924,.330,444,642,.692,397,1232,400,266,97,311,620,6,34,19,15,.559,-9.23,-8.93,,12,6,,8,3,,6,10,,2497,2456,,1365,842,1936,.435,251,759,.331,521,745,.699,371,1347,417,178,111,447,546,6,34,19,15,.559,-9.23,-8.93,,12,6,,8,3,,6,10,,2497,2456,,69.5,105.3,.297,.428,.507,47.8,45.8,11.2,8.2,.476,11.2,28.9,.206,6,34,19,15,.559,-9.23,-8.93,,12,6,,8,3,,6,10,,2497,2456,,69.5,103.6,.385,.392,.536,52.2,49.5,7.5,9.0,.500,16.3,30.8,.269
7,Albany (NY),33,17,16,.515,-9.45,-8.26,,8,8,,7,7,,8,8,,2463,2437,,1335,901,2044,.441,238,736,.323,423,591,.716,392,1117,414,273,77,357,575,7,33,17,16,.515,-9.45,-8.26,,8,8,,7,7,,8,8,,2463,2437,,1335,873,1806,.483,220,626,.351,471,647,.728,279,1080,435,186,155,460,520,7,33,17,16,.515,-9.45,-8.26,,8,8,,7,7,,8,8,,2463,2437,,68.7,107.5,.289,.360,.530,50.8,45.9,11.9,6.5,.499,13.3,32.9,.207,7,33,17,16,.515,-9.45,-8.26,,8,8,,7,7,,8,8,,2463,2437,,68.7,106.3,.358,.347,.577,49.2,49.8,8.1,11.9,.544,17.9,27.8,.261
8,Alcorn State,32,11,21,.344,-13.79,-6.69,,11,7,,6,3,,5,17,,2081,2307,,1285,754,1833,.411,171,538,.318,402,561,.717,377,1087,329,211,86,418,544,8,32,11,21,.344,-13.79,-6.69,,11,7,,6,3,,5,17,,2081,2307,,1285,805,1795,.448,273,809,.337,424,585,.725,343,1090,489,215,136,390,503,8,32,11,21,.344,-13.79,-6.69,,11,7,,6,3,,5,17,,2081,2307,,66.3,97.7,.306,.294,.496,49.9,43.6,9.9,8.7,.458,16.6,33.5,.219,8,32,11,21,.344,-13.79,-6.69,,11,7,,6,3,,5,17,,2081,2307,,66.3,108.3,.326,.451,.556,50.1,60.7,10.1,10.5,.525,15.8,32.6,.236
9,American,34,22,12,.647,-7.01,-6.54,,13,5,,14,2,,5,10,,2334,2287,,1380,813,1836,.443,286,824,.347,422,558,.756,262,1031,426,225,63,376,607,9,34,22,12,.647,-7.01,-6.54,,13,5,,14,2,,5,10,,2334,2287,,1380,822,1811,.454,207,630,.329,436,626,.696,288,1098,413,203,94,406,535,9,34,22,12,.647,-7.01,-6.54,,13,5,,14,2,,5,10,,2334,2287,,64.4,105.1,.304,.449,.555,48.4,52.4,10.1,5.3,.521,15.2,24.4,.230,9,34,22,12,.647,-7.01,-6.54,,13,5,,14,2,,5,10,,2334,2287,,64.4,103.0,.346,.348,.542,51.6,50.2,9.1,9.3,.511,16.1,27.2,.241
10,Appalachian State,31,17,14,.548,-2.47,-3.72,,10,8,,10,4,,5,8,,2102,1970,,1245,738,1692,.436,240,697,.344,386,593,.651,304,1145,389,171,114,335,414,10,31,17,14,.548,-2.47,-3.72,,10,8,,10,4,,5,8,,2102,1970,,1245,728,1862,.391,215,729,.295,299,407,.735,341,1115,354,207,109,295,522,10,31,17,14,.548,-2.47,-3.72,,10,8,,10,4,,5,8,,2102,1970,,64.5,104.7,.350,.412,.533,50.7,52.7,8.5,10.1,.507,14.5,28.2,.228,10,31,17,14,.548,-2.47,-3.72,,10,8,,10,4,,5,8,,2102,1970,,64.5,98.2,.219,.392,.479,49.3,48.6,10.3,11.0,.449,12.6,28.8,.161
11,Arizona,34,22,12,.647,23.12,13.82,,14,6,,13,3,,6,5,,2779,2463,,1370,977,2067,.473,232,716,.324,593,756,.784,416,1346,554,262,146,390,566,11,34,22,12,.647,23.12,13.82,,14,6,,13,3,,6,5,,2779,2463,,1370,867,2088,.415,294,875,.336,435,609,.714,370,1113,461,218,91,400,601,11,34,22,12,.647,23.12,13.82,,14,6,,13,3,,6,5,,2779,2463,,70.2,115.6,.366,.346,.573,54.7,56.7,10.9,12.0,.529,13.8,35.9,.287,11,34,22,12,.647,23.12,13.82,,14,6,,13,3,,6,5,,2779,2463,,70.2,102.5,.292,.419,.518,45.3,53.2,9.1,6.7,.486,14.4,28.5,.208
12,Arizona State,32,13,19,.406,11.19,13.72,,4,16,,5,9,,3,8,,2366,2447,,1295,804,1836,.438,281,786,.358,477,659,.724,282,1093,412,172,142,395,543,12,32,13,19,.406,11.19,13.72,,4,16,,5,9,,3,8,,2366,2447,,1295,862,1963,.439,260,791,.329,463,613,.755,354,1192,467,243,119,363,581,12,32,13,19,.406,11.19,13.72,,4,16,,5,9,,3,8,,2366,2447,,69.9,104.6,.359,.428,.550,47.8,51.2,7.6,12.1,.514,15.5,25.2,.260,12,32,13,19,.406,11.19,13.72,,4,16,,5,9,,3,8,,2366,2447,,69.9,108.1,.312,.403,.543,52.2,54.2,10.7,11.3,.505,13.9,30.4,.236
