School,team_SOS,team_2PA,team_2P%,team_3PA,team_3P%,team_FTA,team_FT%,turnover_margin,rebound_margin,adv_team_Pace
Delaware State,-8.8,48.96666666666667,0.48740639891082366,14.0,0.369,21.333333333333332,0.723,2.2666666666666675,3.4666666666666686,71.8
Morgan State,-8.32,48.53125,0.51513200257566,13.59375,0.34,22.09375,0.728,-0.0625,0.21875,73.0
UAB,-0.71,46.08823529411765,0.5124441608168474,19.441176470588236,0.339,20.41176470588235,0.761,1.1764705882352935,5.588235294117645,70.2
St. John's (NY),8.93,45.64705882352941,0.5148195876288659,19.852941176470587,0.304,19.764705882352942,0.689,4.5,5.852941176470587,70.4
Toledo,-2.7,43.78787878787878,0.5148788927335641,17.393939393939394,0.336,21.666666666666668,0.75,1.5757575757575744,-0.9696969696969688,69.6
Massachusetts,0.75,43.59375,0.47025089605734766,20.5625,0.281,21.9375,0.664,0.96875,1.8125,71.0
New Mexico,5.96,42.81818181818181,0.5116772823779194,20.424242424242426,0.347,23.515151515151516,0.687,3.90909090909091,3.969696969696969,73.2
Wichita State,1.97,42.81818181818181,0.502476999292286,16.87878787878788,0.305,21.12121212121212,0.727,-0.5757575757575744,3.424242424242422,69.3
Abilene Christian,-2.02,42.5625,0.49412628487518356,15.09375,0.302,20.8125,0.715,2.21875,0.125,71.1
Bryant,-7.55,42.470588235294116,0.5277008310249307,23.235294117647058,0.337,19.61764705882353,0.717,0.14705882352941124,5.352941176470587,73.5
Cal State Northridge,-3.28,42.40625,0.522476050110538,19.28125,0.348,22.15625,0.729,1.15625,8.71875,72.9
Gonzaga,6.62,42.33333333333333,0.5776664280601289,21.303030303030305,0.344,19.636363636363637,0.801,3.575757575757576,5.727272727272734,70.5
Detroit Mercy,-3.08,42.21875,0.4448556624722428,17.0625,0.33,17.1875,0.735,-2.3125,1.8125,67.7
Texas State,-3.68,42.21875,0.5011102886750555,16.1875,0.367,21.28125,0.756,-0.65625,4.25,67.2
West Georgia,-4.01,41.64516129032258,0.49186676994577855,17.967741935483872,0.302,17.032258064516128,0.693,0.38709677419354804,-3.548387096774192,69.3
Western Michigan,-4.04,41.59375,0.49586776859504134,20.6875,0.287,19.25,0.672,0.8125,2.9375,69.4
Cal State Bakersfield,-1.74,41.54545454545455,0.4617067833698031,17.363636363636363,0.38,20.181818181818183,0.772,0.45454545454545503,4.030303030303031,67.6
Yale,-3.65,41.44827586206897,0.5391014975041597,19.655172413793103,0.388,19.275862068965516,0.732,1.3448275862068968,7.172413793103448,68.9
Milwaukee,-3.78,41.4375,0.5414781297134238,19.15625,0.308,23.15625,0.684,0.125,9.34375,69.9
Eastern Illinois,-5.72,41.32258064516129,0.44964871194379386,16.774193548387096,0.319,19.612903225806452,0.678,2.483870967741934,-0.9677419354838719,67.9
La Salle,1.6,41.24242424242424,0.4518736223365173,20.757575757575758,0.336,19.03030303030303,0.726,0.9393939393939394,0.06060606060605522,69.6
Portland State,-4.92,41.15625,0.5406226271829917,19.21875,0.327,19.40625,0.63,1.78125,3.375,69.9
New Orleans,-0.61,41.12903225806451,0.459607843137255,18.225806451612904,0.304,20.096774193548388,0.669,-1.9032258064516139,-3.483870967741936,69.5
Texas A&M-Corpus Christi,-3.45,41.05882352941177,0.5508595988538681,17.058823529411764,0.343,20.558823529411764,0.631,1.4117647058823533,4.147058823529413,68.5
Florida International,-1.36,40.81818181818182,0.48478099480326653,17.727272727272727,0.287,20.363636363636363,0.707,1.0606060606060606,0.4242424242424292,69.6
North Alabama,-5.37,40.617647058823536,0.5177407675597393,21.941176470588236,0.353,19.676470588235293,0.706,3.0294117647058822,3.352941176470587,67.6
Kansas,13.77,40.54545454545455,0.5336322869955158,21.12121212121212,0.352,15.0,0.711,-0.7575757575757578,3.81818181818182,69.1
Alcorn State,-6.69,40.46875,0.45019305019305017,16.8125,0.318,17.53125,0.717,-0.875,-0.09375,66.3
Southern,-7.8,40.34375,0.49341595662277304,20.5625,0.322,22.53125,0.669,2.9375,5.125,70.6
Norfolk State,-7.5,40.26470588235294,0.5529583637691746,16.264705882352942,0.331,21.941176470588236,0.756,0.8235294117647047,2.441176470588232,68.2
Lamar,-2.67,40.18181818181818,0.4638009049773756,19.78787878787879,0.352,17.03030303030303,0.687,0.06060606060606055,3.575757575757571,66.8
Georgia State,-2.87,40.09090909090909,0.5026455026455026,20.454545454545453,0.345,19.87878787878788,0.686,-2.515151515151514,2.030303030303031,69.8
Rider,-7.0,40.090909090909086,0.4807256235827665,17.303030303030305,0.312,17.0,0.722,-0.787878787878789,0.5151515151515156,65.3
Syracuse,8.41,40.03030303030303,0.5193035579106737,19.484848484848484,0.328,19.727272727272727,0.705,-2.757575757575758,3.757575757575758,68.7
Temple,-0.05,39.9375,0.48826291079812206,18.65625,0.362,26.5,0.736,-0.03125,0.9375,69.4
Texas Southern,-8.01,39.90625,0.48003132341425214,21.78125,0.334,17.3125,0.722,0.1875,-1.3125,71.6
Michigan State,11.56,39.878787878787875,0.5357142857142857,19.393939393939394,0.308,22.424242424242426,0.781,-0.1212121212121211,9.060606060606062,69.2
Iona,-7.51,39.82352941176471,0.47488921713441656,21.205882352941178,0.318,17.0,0.685,1.3235294117647065,4.32352941176471,68.6
Cleveland State,-4.04,39.78787878787878,0.5072353389185074,19.424242424242426,0.334,17.96969696969697,0.723,3.6363636363636367,1.1212121212121247,66.8
